Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",0,3.99,HarperPerennial / Perennial Classics,Paperback,268,1998,1932,,2018/08/28,,,read,,,,1,0
13525945,So Good They Can't Ignore You: Why Skills Trump Passion in the Quest for Work You Love,Cal Newport,"Newport, Cal",,"=""1455509108""","=""9781455509102""",0,4.08,Business Plus,ebook,288,2012,2012,,2018/08/28,,,read,,,,1,0
324748,The Dip: A Little Book That Teaches You When to Quit (and When to Stick),Seth Godin,"Godin, Seth",,"=""1591841666""","=""9781591841661""",0,3.80,Portfolio,Hardcover,80,2007,2007,,2018/08/28,,,read,,,,1,0
28257707,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Manson, Mark",,"=""""","=""""",0,3.91,Harper,Paperback,212,2016,2016,,2018/08/28,,,read,,,,1,0
22281530,De koning kun je niet spelen,Boris van der Ham,"Ham, Boris van der",,"=""9035141660""","=""9789035141667""",0,3.10,Prometheus Bert Bakker,Paperback,128,2014,2014,,2018/08/28,,,read,,,,1,0
13599976,Stil,Susan Cain,"Cain, Susan",Jan Willem Reitsma,"=""9029578386""","=""9789029578387""",0,4.07,De Arbeiderspers,Paperback,392,2012,2012,,2018/08/28,,,read,,,,1,0
17374306,De Nieuwsfabriek,Rob Wijnberg,"Wijnberg, Rob",,"=""""","=""9789023477587""",0,3.70,De Bezige Bij,Paperback,155,2013,2013,,2018/08/28,,,read,,,,1,0
31699339,Je hebt wél iets te verbergen,Maurits Martijn,"Martijn, Maurits",Dimitri Tokmetzis,"=""908252032X""","=""9789082520323""",0,3.98,De Correspondent,Paperback,223,2016,2016,,2018/08/28,,,read,,,,1,0
23165612,Dit kan niet waar zijn,Joris Luyendijk,"Luyendijk, Joris",,"=""9045028166""","=""9789045028163""",0,3.84,Atlas Contact,Paperback,207,2015,2015,,2018/08/28,,,read,,,,1,0
33521853,"Gratis geld voor iedereen: over het basisinkomen, de 15-urige werkweek en een wereld zonder grenzen",Rutger Bregman,"Bregman, Rutger",,"=""""","=""""",0,4.23,De Correspondent BV,Kindle Edition,213,2016,2014,,2018/08/28,,,read,,,,1,0
25541028,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,"Vance, Ashlee",,"=""0062301233""","=""9780062301239""",0,4.20,Ecco,Hardcover,392,2015,2015,,2018/08/28,,,read,,,,1,0
7338301,"Zwaarden, paarden en ziektekiemen",Jared Diamond,"Diamond, Jared",Conny Sýkora,"=""902742733X""","=""9789027427335""",0,4.04,Spectrum,Paperback,508,2000,1997,,2018/08/28,,,read,,,,1,0
31138556,Homo Deus: A History of Tomorrow,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",0,4.22,Harper,Kindle Edition,450,2017,2015,,2018/08/28,,,read,,,,1,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",0,4.38,Vintage,Paperback,512,2015,2011,,2018/08/28,,,read,,,,1,0
18638169,U kletst uit uw nek,Rens Vliegenthart,"Vliegenthart, Rens",,"=""9035137590""","=""9789035137592""",0,3.25,Bert Bakker,Paperback,224,2012,2012,,2018/08/28,,,read,,,,1,0
9778945,The Shallows: What the Internet Is Doing to Our Brains,Nicholas Carr,"Carr, Nicholas",,"=""0393339750""","=""9780393339758""",0,3.89,W. W. Norton  Company,Paperback,280,2011,2010,,2018/08/28,,,read,,,,1,0
39853837,Feitenkennis: 10 redenen waarom we een verkeerd beeld van de wereld hebben en waarom het beter gaat dan je denkt,Hans Rosling,"Rosling, Hans",Annemie de Vries,"=""9000351227""","=""9789000351220""",0,4.36,Spectrum,Paperback,343,2018,2018,2018/08/28,2018/08/28,,,read,,,,1,0
